delay_minutes,mean_slippage_bps,median_slippage_bps,mean_spread_cost_bps,mean_total_cost_bps,median_total_cost_bps,p90_total_cost_bps,std_total_cost_bps,n
0,0.0,0.0,0.6553061338656685,0.6553061338656685,0.4385436108683589,1.4734525761670905,0.7055766919474439,34
1,6.144766400690048,2.950149915893327,0.476319377907138,6.621085778597186,3.222272654302694,8.84537890014595,15.707688126828252,34
2,47.188982034072325,40.50928680104213,0.4611397480553621,47.650121782127684,40.645510149573376,85.62562959070729,29.000495595345807,34
3,47.462663284609675,39.4125243972683,2.069109547640994,49.53177283225067,43.76258306921319,98.5266323641165,33.37492641214137,34
5,46.64861759458207,39.32497456015168,1.5579479888704535,48.20656558345252,39.39627503071124,100.4211570872683,32.91324709327899,34
10,44.749247917729456,37.37272299364748,1.6008107875043576,46.35005870523381,37.37272299364748,100.21587487180678,37.12412450158838,34
15,46.97377322580394,37.321249973080484,1.254024196287425,48.22779742209136,38.951950760627156,107.15763709557686,37.537364460501465,34
30,44.63719253963753,32.251901977629416,1.0693378122538992,45.70653035189144,33.82853647327535,110.15822104147398,39.16055429188577,34
60,45.300483428025885,34.74585050013685,0.8043831921411143,46.104866620167,35.42355743136763,115.86715680796519,37.24803197222864,34
