delay_minutes,mean_slippage_bps,median_slippage_bps,mean_spread_cost_bps,mean_total_cost_bps,median_total_cost_bps,p90_total_cost_bps,std_total_cost_bps,n
0,0.0,0.0,0.6553061338656685,0.6553061338656685,0.4385436108683589,1.4734525761670905,0.7055766919474439,34
1,2.3727994614089645,0.5205313542454116,0.476319377907138,2.8491188393161027,1.1872185330996592,5.3808551446442365,16.79195828755163,34
2,36.27820169547703,32.29563921091925,0.4611397480553621,36.73934144353239,32.35714057277855,85.62562959070729,42.15919210565614,34
3,36.466797620724684,33.66744369658217,2.069109547640994,38.535907168365675,34.14425198105582,98.5266323641165,44.695455850880606,34
5,34.52531466303305,28.868666129143783,1.5579479888704535,36.0832626519035,29.706751772365628,100.4211570872683,45.11254735873363,34
10,41.25338174533487,37.37272299364748,1.6008107875043576,42.85419253283923,37.37272299364748,100.21587487180678,41.100952869460045,34
15,42.04591844898553,35.71365504087937,1.254024196287425,43.29994264527295,37.36584337623878,107.15763709557686,43.11287314976102,34
30,43.92162829130148,32.251901977629416,1.0693378122538992,44.99096610355538,33.82853647327535,110.15822104147398,39.956474767108226,34
60,45.300483428025885,34.74585050013685,0.8043831921411143,46.104866620167,35.42355743136763,115.86715680796519,37.24803197222864,34
